iter	Passed	Remaining
607	14921	9620
608	14944	9595
609	14966	9568
610	14989	9543
611	15012	9517
612	15037	9493
613	15062	9469
614	15086	9444
615	15109	9418
616	15134	9394
617	15159	9370
618	15184	9345
619	15209	9322
620	15234	9297
621	15257	9272
622	15281	9247
623	15308	9224
624	15331	9198
625	15355	9174
626	15382	9151
627	15408	9127
628	15431	9101
629	15453	9076
630	15475	9049
631	15499	9025
632	15522	8999
633	15544	8973
634	15567	8948
635	15589	8922
636	15613	8897
637	15635	8871
638	15657	8845
639	15680	8820
640	15701	8794
641	15724	8768
642	15748	8743
643	15769	8717
644	15792	8692
645	15815	8666
646	15838	8641
647	15861	8616
648	15883	8590
649	15907	8565
650	15934	8542
651	15957	8517
652	15979	8491
653	16003	8466
654	16028	8442
655	16050	8416
656	16073	8391
657	16097	8366
658	16121	8342
659	16146	8317
660	16168	8292
661	16191	8267
662	16214	8241
663	16237	8216
664	16262	8192
665	16287	8168
666	16310	8143
667	16334	8118
668	16359	8093
669	16383	8069
670	16406	8044
671	16430	8019
672	16455	7995
673	16479	7970
674	16503	7945
675	16526	7920
676	16551	7896
677	16574	7871
678	16598	7847
679	16621	7822
680	16646	7797
681	16671	7773
682	16696	7749
683	16718	7723
684	16742	7698
685	16766	7674
686	16789	7649
687	16811	7623
688	16837	7599
689	16862	7575
690	16887	7551
691	16914	7528
692	16937	7503
693	16960	7478
694	16983	7453
695	17006	7428
696	17029	7402
697	17052	7377
698	17074	7352
699	17098	7327
700	17120	7302
701	17144	7277
702	17168	7253
703	17191	7228
704	17217	7204
705	17244	7181
706	17267	7156
707	17292	7131
708	17315	7106
709	17340	7082
710	17362	7057
711	17388	7033
712	17409	7007
713	17432	6982
714	17454	6957
715	17479	6933
716	17501	6908
717	17525	6883
718	17547	6857
719	17568	6832
720	17590	6806
721	17612	6781
722	17636	6756
723	17658	6731
724	17683	6707
725	17707	6683
726	17730	6658
727	17753	6633
728	17775	6608
729	17798	6582
730	17820	6557
731	17842	6532
732	17863	6507
733	17886	6481
734	17910	6457
735	17931	6432
736	17955	6407
737	17976	6382
738	17999	6357
739	18021	6331
740	18043	6306
741	18064	6281
742	18089	6256
743	18112	6232
744	18135	6207
745	18157	6182
746	18180	6157
747	18201	6132
748	18225	6107
749	18247	6082
750	18269	6057
751	18292	6032
752	18314	6007
753	18337	5982
754	18359	5957
755	18382	5932
756	18407	5908
757	18430	5884
758	18453	5859
759	18476	5834
760	18499	5809
761	18523	5785
762	18548	5761
763	18572	5737
764	18596	5712
765	18619	5687
766	18644	5663
767	18666	5638
768	18689	5614
769	18713	5589
770	18735	5564
771	18758	5540
772	18781	5515
773	18805	5491
774	18828	5466
775	18851	5441
776	18875	5417
777	18897	5392
778	18920	5367
779	18944	5343
780	18966	5318
781	18991	5294
782	19015	5269
783	19037	5244
784	19061	5220
785	19087	5196
786	19110	5172
787	19134	5147
788	19157	5123
789	19181	5098
790	19204	5074
791	19228	5049
792	19251	5025
793	19274	5000
794	19298	4976
795	19320	4951
796	19343	4926
797	19365	4902
798	19387	4877
799	19409	4852
800	19432	4827
801	19454	4803
802	19475	4778
803	19495	4752
804	19518	4728
805	19541	4703
806	19564	4678
807	19586	4654
808	19608	4629
809	19630	4604
810	19654	4580
811	19676	4555
812	19699	4531
813	19722	4506
814	19743	4481
815	19767	4457
816	19788	4432
817	19811	4407
818	19834	4383
819	19857	4358
820	19879	4334
821	19903	4309
822	19926	4285
823	19947	4260
824	19972	4236
825	19994	4211
826	20016	4187
827	20039	4162
828	20061	4138
829	20083	4113
830	20107	4089
831	20131	4064
832	20155	4040
833	20179	4016
834	20202	3992
835	20226	3967
836	20249	3943
837	20272	3918
838	20295	3894
839	20318	3870
840	20342	3845
841	20365	3821
842	20390	3797
843	20413	3773
844	20437	3748
845	20459	3724
846	20484	3700
847	20508	3676
848	20533	3651
849	20555	3627
850	20579	3603
851	20602	3578
852	20624	3554
853	20648	3530
854	20670	3505
855	20697	3481
856	20721	3457
857	20742	3432
858	20766	3408
859	20787	3384
860	20811	3359
861	20834	3335
862	20858	3311
863	20881	3286
864	20907	3262
865	20931	3238
866	20956	3214
867	20980	3190
868	21005	3166
869	21028	3142
870	21052	3117
871	21077	3093
872	21102	3069
873	21126	3045
874	21149	3021
875	21172	2997
876	21195	2972
877	21217	2948
878	21240	2923
879	21264	2899
880	21287	2875
881	21310	2851
882	21333	2826
883	21357	2802
884	21381	2778
885	21403	2753
886	21426	2729
887	21449	2705
888	21471	2680
889	21492	2656
890	21515	2632
891	21536	2607
892	21560	2583
893	21584	2559
894	21608	2535
895	21632	2510
896	21656	2486
897	21681	2462
898	21708	2438
899	21734	2414
900	21756	2390
901	21779	2366
902	21801	2341
903	21825	2317
904	21847	2293
905	21870	2269
906	21894	2244
907	21917	2220
908	21940	2196
909	21964	2172
910	21987	2148
911	22010	2123
912	22036	2099
913	22057	2075
914	22082	2051
915	22105	2027
916	22127	2002
917	22151	1978
918	22173	1954
919	22195	1930
920	22217	1905
921	22240	1881
922	22263	1857
923	22287	1833
924	22309	1808
925	22333	1784
926	22357	1760
927	22382	1736
928	22406	1712
929	22429	1688
930	22453	1664
931	22477	1639
932	22500	1615
933	22524	1591
934	22547	1567
935	22570	1543
936	22596	1519
937	22624	1495
938	22651	1471
939	22675	1447
940	22700	1423
941	22726	1399
942	22751	1375
943	22776	1351
944	22800	1327
945	22825	1302
946	22848	1278
947	22873	1254
948	22897	1230
949	22920	1206
950	22945	1182
951	22968	1158
952	22991	1133
953	23017	1109
954	23042	1085
955	23067	1061
956	23090	1037
957	23114	1013
958	23138	989
959	23163	965
960	23187	940
961	23211	916
962	23234	892
963	23261	868
964	23287	844
965	23313	820
966	23335	796
967	23360	772
968	23385	748
969	23408	723
970	23431	699
971	23456	675
972	23480	651
973	23503	627
974	23526	603
975	23551	579
976	23575	554
977	23597	530
978	23620	506
979	23644	482
980	23668	458
981	23692	434
982	23716	410
983	23738	385
984	23762	361
985	23787	337
986	23811	313
987	23833	289
988	23858	265
989	23883	241
990	23906	217
991	23930	192
992	23953	168
993	23978	144
994	24003	120
995	24027	96
996	24051	72
997	24076	48
998	24098	24
999	24123	0
